level,category,title,message_id
A1,literatur,Gefährliche-Spaziergange,5
A1,wortliste,A1-Arena-Wortliste,2
A1,wortliste,A1-Goethe-Wortliste,3
A1,wortliste,A1-VIZU-Wortliste,4
A1,wortliste,Nemischa-Ozbekcha-Lugat,7
A2,wortliste,Nemischa-Ozbekcha-Lugat,7
A2,wortliste,Goethe-Wortliste A2,8
B1,wortliste,Nemischa-Ozbekcha-Lugat,7
B1,wortliste,Goethe-Wortliste B1,9
B2,wortliste,Nemischa-Ozbekcha-Lugat,7
B2,wortliste,Kompass-B2-Wortliste,16
B2,wortliste,Mittelpunkt-B2-Wortliste,17
B2,wortliste,Sicher-B2-Wortliste,18
B2,wortliste,Vielfalt-B2-Wortliste,19
B2,wortliste,Weitblick-B2-Wortliste,20
B2,wortliste,Werkstatt-B2-Wortliste,21
B2,wortliste,Aspekte-B2-Wortliste,22
B2,wortliste,Erkundungen-B2-Wortliste,23
C1,literatur,Das Verschwinden der Sterne,6
C1,wortliste,Nemischa-Ozbekcha-Lugat,7
C1,wortliste,Sicher-C1-Wortliste,10
C1,wortliste,Aspekte-C1-Wortliste,11
C1,wortliste,Erkundungen-C1-Wortliste,12
C1,wortliste,Kompass-C1-Wortliste,13
C1,wortliste,Mittelpunkt-C1-Wortliste,14
C1,wortliste,Vielfalt-C1.1-Wortliste,15
A1,vorbereitung,Spektrum-A1,24
A2,vorbereitung,Spektrum-A2,25
B1,vorbereitung,Spektrum-B1,26
B2,vorbereitung,Spektrum-Deutsch-B2,27
A1,vorbereitung,Schritte-Plus-Neu-A1.1,28
A1,vorbereitung,Schritte-Plus-Neu-A1.2,29
A2,vorbereitung,Schritte-Plus-Neu-A2.1,30
A2,vorbereitung,Schritte-Plus-Neu-A2.2,31
B1,vorbereitung,Schritte-Plus-Neu-B1.1,32
B1,vorbereitung,Schritte-Plus-Neu-B1.2,33
A1,vorbereitung,Menschen-A1.1-AB,34
A1,vorbereitung,A1.1-AB-Audios,35
A1,vorbereitung,A1.2-KB-Audio,36
A1,vorbereitung,Menschen-A1.2-KB,37
A2,vorbereitung,Menschen-A2.1,38
A2,vorbereitung,Menschen-A2.2,39
B1,vorbereitung,Menschen-B1-Kursbuch,40
B1,vorbereitung,Menschen-B1-Arbeitsbuch,41
A2,literatur,Der-Umzug-nach-Hamburg,42
A2,literatur,Ein-Hund-namens-Money,43
B1,literatur,Harry-Potter-und-Der-Stein-der-Weisen,44
B1,literatur,Harry-Potter-und-der-Orden-des-Phoenix,45
B1,literatur,Harry-Potter-und-die-Kammer-des-Schreckens,46
B1,literatur,Harry-Potter-und-der-Gefangene-von-Askaban,47
B2,literatur,Harry-Potter-und-Der-Stein-der-Weisen,44
B2,literatur,Harry-Potter-und-die-Kammer-des-Schreckens,46
B2,literatur,Harry-Potter-und-der-Gefangene-von-Askaban,47
B2,literatur,Harry-Potter-und-der-Feuerkelch,48
B2,literatur,Harry-Potter-und-der-Orden-des-Phoenix,45
B2,literatur,Harry-Potter-und-der-Halbblutprinz,49
B2,literatur,Harry-Potter-und-die-Heiligtumer-des-Todes,50
C1,vorbereitung,Sicher-C1.1-Kursbuch,51
C1,vorbereitung,Sicher-C1.1-Arbeitsbuch,52
C1,vorbereitung,Sicher-C1.1-CD-zum-Arbeitsbuch,53
C1,vorbereitung,Sicher-C1.1-CD-zum-Kursbuch,54
C1,vorbereitung,Sicher-C1.2-Kursbuch,55
C1,vorbereitung,Sicher-C1.2-KB-Losungen,56
C1,vorbereitung,Sicher-C1.2-KB-Audios,57
C1,vorbereitung,Sicher-C1.2-KB-Transkript,58
C1,vorbereitung,Sicher-C1.2-AB-Losungen,59
C1,vorbereitung,Sicher-C1.2-Arbeitsbuch,60
C1,vorbereitung,Sicher-C1.2-DVD-Transkript,61
C1,vorbereitung,Sicher-C1.2-AB-Audios,62
C1,vorbereitung,Sicher-C1.2-AB-Transkription,63
B1,vorbereitung,Werkstatt-B1,64
B2,vorbereitung,Werkstatt-B2,65
