track_number,title,message_id
1,Lilli - Kein Schlaf,2
2,Lina Maly - 3 Jahre lang,3
3,Wincent Weiss - Gegenteil von Traurigkeit,4
4,Fiora - Fahrrad,5
5,LUNA - Frühling,6
6,Marita - Allein in Berlin,7
7,Wanda - Sie steht nicht auf dich,8
8,LARA - Kalt,9
9,skuth - Das machst du,10
10,Lea - Ich mag dich,11
11,maïa & Jassin - Stadt,12
12,Frytz - Ein Stück meiner Angst,13
13,skuth - Oktober,14
14,Trille - Alle traurig,15
15,robin peaches - my german playlist for reading,16
16,ExGerWolf - Frieden,17
17,Wanda - Sie steht nicht auf dich,18
18,Paula Hartmann & T-Low - Sag was,19
19,Tim Bendzko - Nur Noch Kurz Die Welt Retten,20
20,Philipp Dittberner - Gib mir einen Grund,21
21,FiNCH - NUR FiNCH NiCHT,22
22,PA Sports - Leyfi,23
23,Nand - Wo bist du,24
24,Bac - Manchmal so Manchmal so,25
25,YUNG SAINT PAUL & FOURTY - Viertel nach acht,26
26,Fiora - Wie wir uns verlieren,27
27,FAYAN & Dalton - KANN ES SO FÜR IMMER SEIN?,28
28,Ché Salah & Nimo - Aladin,29
29,Alexander Eder - ALL THE WAY UP,30
30,Max Grimm - Anarchie Zu Zweit,31
31,CIVO - Auf jeden Blick,32
32,Yola & Dani Lia - aufn sack,33
33,ENNIO - Barcelona,34
34,Bekkaa - Birkenstocks,35
35,George Jr - Blicke erklären,36
36,YC - Cut it,37
37,Summer Cem & Jumpa - DEADLINE (RED BULL 64 BARS),38
38,Juju - $HORTY,39
39,bangerfabrique & Baran Kok & NEBOU - 4 SCHLAMPEN,40
40,1986zig & Mucco - 68,41
41,Farin Urlaub - 999,42
42,Culcha Candela - Adrenalin,43
43,Ufo361 - ALLE MEINE BRÜDER TOT,44
44,Dominik Hartz - Alles geht vorbei,45
45,Florian Künstler - Alles nur geliehen,46
46,Annett Louisan - An deiner Seite,47
47,Sampagne - angel eyez,48
48,anaïs - ciao bb,49
49,Boondawg - cliché,50
50,Montez & Chapo102 - Die Falschen geküsst,51
51,Deine Cousine - Dosenbier und Schiffe schauen,52
52,Madeline Juno - Funkstille,53
53,MELLER - für ne weile,54
54,Jamin & Jazeek - Go Hard,55
55,KITSCHKRIEG & Blumengarten & Shirin David - Blumengarten,56
56,BRUCKNER - Gute Dinge,57
57,OK KID - Hör Nie Auf,58
58,Dardan & Azet - Joga Bonito,59
59,Summer Cem & BILLA JOE - KILLY MANJARO,60
60,Sandra Hesch - Kommst du mit?,61
61,Ivo Martin - Koordinaten,62
62,Ibra - Lieblingsmensch,63
63,Zombic - Nie Erlebt,64
64,DELA - Ohne Dich,65
65,RAF Camora & Amo & Aymen - ONLY ONE,66
66,Mine & LIONSTORM - Oxytocin,67
67,Yuyu19 & Lucio101 - Piatella,68
68,Replay Okay & Zsá Zsá - playboy,69
69,FiLow - REISS EIN,70
70,OSWALD & Esther Graf - sommer,71
71,BIBIZA - Sterne,72
72,Bac - Sturzflug,73
73,Tream & treamiboii - SÜDAFRIKA,74
74,Christoph Sakwerda - Tanz,75
75,liska - zähl die tage,76
76,Hava & Erda - Pass auf wen du liebst,77
77,Maite Kelly - Der Morgen danach,78
78,Florian Künstler & Clara Lösel - Alles geht vorbei,79
79,Tim Bendzko - Alles in Bewegung,80
80,NESS - Auto,81
81,LUNAX & Isi Glück - Blödsinn,82
82,Carli - CARLI,83
83,Rian - Das Leben ist schon ernst genug,84
84,SOFFIE - Dass ich gerade traurig bin,85
85,Lina Maly & Enno Bunger - Du bist alles,86
86,LINA - Für immer,87
87,SAMIRA - Für immer,88
88,Anna Grey - für immer jung,89
89,ELEHA - Hallo,90
90,Kauta - Ich hoff,91
91,OSWALD & Marita - Irgendwo irgendwann,92
92,Ceren - Kein Liebeslied,93
93,Marteria - L.I.E.B.,94
94,Lostboi Lino - Liebe & Entzug,95
95,Longus Mongus & BHZ - maria,96
96,CHEKAA & Eddin & Zera - mOJA bEBO,97
97,WILSN & Mathea - PANORAMA DACH,98
98,Florentina - Pech für dich,99
99,Ronja - Platzangst,100
100,KAYEF - ROTER KNOPF,101
101,Monet192 - Sie ist,102
102,Johannes Oerding - Sonntag,103
103,Juna - unser ende,104
104,Das Lumpenpack & Peter B. & Sportfreunde Stiller - Wand,105
105,ENKAY & Jona - Wenn die Welt zerbricht,106
106,SSIO - Sei mal ehrlich,107
107,Jazeek & Luciano - Ma Shawty,108
108,Ché Salah & Amo - Medusa,109
109,Ufo361 - KEIN PLAN B,110
110,Sosa La M - Paparazzi,111
111,Mike Singer - ANGELINA,112
112,Ella - bittersüß,113
113,ZOË MË - Clair de Lune,114
114,verifiziert - denk drüber nach,115
115,Tristan Brusch - Die Liebe in Maßen,116
116,1986zig - Filmriss,117
117,Gregor Hägele - ICH HAB'S GUT ICH HAB DICH,118
118,Loredana & Schwesta Ewa - IHR MÖCHTEGERN,119
119,Jonny Mahoro - Innenleben,120
120,siovo - KANDY PAINT,121
121,Clueso - Lovesick,122
122,Kasi & Antonius - oktober,123
123,DUEJA - OOTD,124
124,PA69 & Ikkimel - RAN AN DIE BULETTEN,125
125,Wincent Weiss - Sommer der bleibt,126
126,LYZA - Vergess mich,127
127,Bella - vielleicht fehlst du mir,128
128,ALLESS. & Liska - Wer wir sind,129
129,Charlotte Kudella - zumindest red ich mir das ein,130
130,Vega & LUNA - Liebe,131
131,MARNELE & 9inebro - Flügel,132
132,KALIM & Lucio101 - SHOW OFF,133
133,OG LU & Wa22ermann - Hasskick,134
134,Bobby Vandamme & Azet - Brazil Funk Freestyle #2,135
135,Aymo & Aymen & Amo - Bleib stark,136
136,benno! - ITALY,137
137,SIRA & Monk & Themba - 30,138
138,Dardan - Drama,139
139,Nizi19 - Cotton Candy,140
140,Maia - Aschenbecher,141
141,Juh-Dee & Young Mesh & Jazeek & Aitch - BÆD,142
142,Kontra K - Das Glück,143
143,HE/RO - DAS LEBEN IST...,144
144,Sarah Connor - Das schönste Mädchen der Welt,145
145,error - Die Hälfte von Nichts,146
146,SDP - Eigentlich wollte ich dir nie sagen,147
147,SOPHIA - Erst wenn die Sterne,148
148,T-Low - GEH ALLEIN2,149
149,Kati K & CIVO & Joris - Herz über Kopf,150
150,Sampagne & YUNG SAINT PAUL - lolo,151
151,shosharascal & makko - MAGAZIN,152
152,Ikkimel & The Cratez - MAMI,153
153,Zackavelli - messi,154
154,Carlo5 & anaïs - nah am meer gebaut,155
155,ELIF - NEIN,156
156,Sosa La M - No Limit,157
157,Longus Mongus & BHZ - rosa,158
158,Jamule - SOBER,159
159,Ela. - Spiegelbild,160
160,Culcha Candela - Von A nach B,161
